,revolving_utilization_of_unsecured_lines,age,number_of_time30-59_days_past_due_not_worse,debt_ratio,monthly_income,number_of_open_credit_lines_and_loans,number_of_times90_days_late,number_real_estate_loans_or_lines,number_of_time60-89_days_past_due_not_worse,number_of_dependents,age^2,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,13.0,20.0
134446,0.289077769,31,0,0.193161368,3333.0,8,0,0,0,0.0,961,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65293,0.88209607,52,2,1.25419493,2800.0,9,0,1,0,0.0,2704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127924,0.720255949,40,0,0.27088788399999997,4200.0,9,0,0,0,3.0,1600,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14746,0.11834495,66,0,0.471914406,2616.0,9,0,1,0,0.0,4356,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81230,0.520271854,53,0,3317.0,6623.0,5,0,2,0,0.0,2809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72026,0.000674664,74,0,0.0,2300.0,19,0,0,0,0.0,5476,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143447,0.024897297000000002,56,0,0.11413612599999999,23874.0,18,0,1,0,0.0,3136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17281,0.064841563,39,0,3372.0,6623.0,8,0,2,0,0.0,1521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46696,0.46131869799999997,42,0,1752.0,6623.0,7,0,1,0,0.0,1764,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21141,0.000620647,64,0,0.0,6623.0,2,0,0,0,1.0,4096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147947,0.772209723,67,0,2.093453273,2000.0,11,0,2,0,0.0,4489,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121785,0.18008038399999998,50,0,0.39486177,3580.0,7,0,0,0,2.0,2500,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129478,0.00585705,41,0,0.681915904,20000.0,15,0,4,0,0.0,1681,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139715,0.01919904,68,0,11.0,6623.0,1,0,0,0,0.0,4624,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72335,0.5834880729999999,44,0,0.36034159600000004,4800.0,8,0,1,0,1.0,1936,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103733,0.08179591,65,0,0.20062819,10187.0,4,0,2,0,0.0,4225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28905,0.036618821,43,0,0.238180946,8333.0,12,0,2,0,0.0,1849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22826,0.235693244,56,0,3880.0,0.0,12,0,1,0,0.0,3136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70146,0.0,53,0,0.751179245,2543.0,7,0,1,0,0.0,2809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116716,0.777938555,45,0,0.31556459800000003,4914.0,12,0,0,0,0.0,2025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66410,0.188117162,57,0,0.21270298399999998,12500.0,4,0,2,0,1.0,3249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124566,0.127334615,33,0,0.29998500100000003,6666.0,9,0,1,0,2.0,1089,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33069,957.0,79,0,0.00430703,6500.0,3,0,0,0,0.0,6241,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138388,0.24355129,54,0,1.276699029,1853.0,9,0,2,0,3.0,2916,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73509,0.042329766,76,0,50.0,6623.0,2,0,0,0,1.0,5776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53214,0.020209984,44,0,0.734775495,5500.0,11,0,2,0,0.0,1936,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134700,0.0,40,0,0.043591282,5000.0,3,0,0,0,2.0,1600,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130609,0.0,71,0,0.622296173,1201.0,7,0,1,0,0.0,5041,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53547,0.046777035,55,0,1932.0,6623.0,6,0,1,0,0.0,3025,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33144,0.678317829,40,0,0.35145606799999995,8000.0,15,0,1,0,1.0,1600,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16702,0.6052263179999999,48,1,0.719904648,7550.0,11,0,2,0,2.0,2304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64040,0.888971264,56,0,0.47635707,8860.0,13,0,3,0,0.0,3136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95444,0.085465899,45,0,0.26196182100000004,12100.0,11,0,2,0,1.0,2025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9206,0.008720423,63,0,74.0,6623.0,1,0,0,0,1.0,3969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120319,0.271152565,50,0,0.911592242,2216.0,9,0,1,0,1.0,2500,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66632,0.781796795,35,3,0.49950016700000005,3000.0,9,2,1,3,0.0,1225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30650,0.34538893600000004,32,0,0.40916726700000006,8333.0,13,0,1,0,1.0,1024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43295,0.305423723,33,0,0.5958670110000001,12000.0,12,0,5,0,0.0,1089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56414,0.7750314490000001,43,1,7.822870852,2500.0,26,0,7,0,0.0,1849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46336,0.09072224699999999,47,0,0.171527199,8400.0,8,0,1,0,2.0,2209,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71361,0.053244152,32,0,0.025299948,3833.0,3,0,0,0,0.0,1024,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149764,1.098371777,33,4,5225.0,6623.0,7,1,2,0,0.0,1089,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141356,0.9999998999999999,57,2,2732.0,0.0,2,1,1,0,1.0,3249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106637,0.589238131,41,0,0.421777898,3700.0,10,0,0,0,2.0,1681,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139479,0.27926638,48,0,2378.0,6623.0,5,0,1,0,2.0,2304,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106382,0.9999998999999999,34,0,0.849106905,3750.0,8,0,1,0,3.0,1156,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15148,0.00161063,42,0,0.22510162600000003,1967.0,8,0,0,0,1.0,1764,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101076,0.22916973,32,0,0.201925255,8829.0,6,0,1,0,1.0,1024,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94839,0.004930864,29,0,2900.0,6623.0,8,0,2,0,0.0,841,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
657,0.037849716,62,0,0.16289178699999998,8741.0,15,0,1,0,0.0,3844,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53846,0.723445346,38,0,0.189057523,5336.0,3,0,0,0,2.0,1444,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24464,0.667353494,26,0,0.09828780599999999,7650.0,5,0,0,0,2.0,676,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38943,0.117812015,80,0,0.247252747,2729.0,9,0,1,0,0.0,6400,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141118,0.020832465,53,0,1471.0,6623.0,7,0,1,0,0.0,2809,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33688,0.227971843,55,1,6069.0,6623.0,18,0,2,0,1.0,3025,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67432,0.714607337,53,3,0.292598201,11226.0,12,0,1,2,4.0,2809,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146315,0.014865676000000001,85,0,0.0011235960000000001,5339.0,4,0,0,0,0.0,7225,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56074,0.477866791,44,5,0.325862448,4550.0,9,0,1,0,2.0,1936,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
